,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
2021-01-23 01:00:00,135.78,135.9,133.74,135.29,4517.836430000003,2247.706749999998,1322,608537.2177288
2021-01-23 02:00:00,135.45,137.52,134.21,136.82,4374.669919999995,2738.036249999996,1291,595740.6677008008
2021-01-23 03:00:00,136.91,137.41,135.47,135.91,2226.0787699999964,1434.2510000000002,816,303961.27359469986
2021-01-23 04:00:00,135.93,137.56,135.6,137.46,1600.4102399999977,849.2400500000003,715,218829.53222299973
2021-01-23 05:00:00,137.29,138.85,137.15,138.02,3113.870350000001,1697.9283999999975,1205,429667.2650538994
2021-01-23 06:00:00,138.02,139.5,137.48,139.05,2459.90686,1669.3933000000006,962,340618.4274815005
2021-01-23 07:00:00,139.06,140.04,138.7,139.04,3579.398589999999,2482.704999999999,1050,499122.56633909966
2021-01-23 08:00:00,138.95,140.25,138.48,139.59,5663.719610000014,2873.6383499999993,1636,788600.4228217009
2021-01-23 09:00:00,139.7,140.32,138.33,139.82,3962.1444400000014,1743.8259899999994,1131,551943.4152155991
2021-01-23 10:00:00,140.04,140.97,138.25,138.72,4167.253649999993,1903.531149999999,1431,582050.6702662996
2021-01-23 11:00:00,138.82,139.15,136.85,137.65,3618.7718199999986,1423.5174300000006,1057,498680.6572558997
2021-01-23 12:00:00,137.65,138.21,135.33,136.03,3805.721669999993,2126.1181199999983,1295,519830.7080672006
2021-01-23 13:00:00,135.98,137.26,135.53,136.09,4077.888339999993,2130.063169999997,1379,557017.9972691998
2021-01-23 14:00:00,136.2,138.12,135.09,137.19,3745.658860000006,1382.1326199999987,1304,512993.8809883
2021-01-23 15:00:00,137.4,138.05,136.66,137.8,2682.19969,1662.1627199999975,959,368157.03027660056
2021-01-23 16:00:00,137.65,138.58,137.09,137.68,4206.958920000009,1562.2459799999995,1188,579917.8710235995
2021-01-23 17:00:00,137.66,138.01,136.87,137.22,6825.344939999997,2773.5910900000013,2252,937298.3019673999
2021-01-23 18:00:00,137.25,137.89,137.04,137.43,1967.6816399999966,953.4399499999997,695,270305.1227109002
2021-01-23 19:00:00,137.48,141.05,137.31,139.01,12291.504750000016,8331.617730000016,3886,1711526.265999605
2021-01-23 20:00:00,138.92,139.84,138.71,139.58,2473.155479999999,1517.8934100000024,901,344638.51734420017
2021-01-23 21:00:00,139.51,139.84,138.83,139.54,1918.3541399999976,1006.8560500000003,662,267405.2733846999
2021-01-23 22:00:00,139.44,141.76,138.42,139.44,3972.5178699999988,2205.7347699999978,1880,556256.4712783
2021-01-23 23:00:00,139.42,139.65,138.0,138.23,1686.7015799999986,661.0255300000001,734,234100.39750119997
2021-01-24 01:00:00,139.06,139.99,137.82,138.66,3889.028239999997,1945.6702099999973,1370,540183.8555041001
2021-01-24 02:00:00,138.77,139.46,138.2,138.92,1423.8909199999994,859.8173500000005,513,198005.27755469995
2021-01-24 03:00:00,139.06,139.96,138.58,139.57,2093.1150099999986,1106.1062900000004,726,291849.45453829993
2021-01-24 04:00:00,139.65,140.47,139.4,140.21,2943.401249999998,1437.3048999999994,980,411523.9544336005
2021-01-24 05:00:00,140.23,143.06,139.84,141.64,9127.927270000018,4539.691579999997,2893,1287586.6682891995
2021-01-24 06:00:00,141.62,141.92,139.36,140.03,8283.091440000006,2531.738919999994,2325,1161691.4432481977
2021-01-24 07:00:00,140.04,140.29,139.24,139.49,2104.37269,879.1046800000007,756,293677.24808249995
2021-01-24 08:00:00,139.55,139.89,138.74,139.39,1905.353309999996,875.5051100000003,829,265437.5589286002
2021-01-24 09:00:00,139.34,140.0,138.94,139.67,1902.068919999999,942.1730800000003,713,265102.5937350998
2021-01-24 10:00:00,139.67,142.55,139.66,142.55,5642.885390000002,3680.4841600000022,1773,796938.0984802002
2021-01-24 11:00:00,142.54,142.77,141.17,141.95,3604.2280600000013,1753.1697399999982,1271,511263.9870022999
2021-01-24 12:00:00,141.94,142.78,141.58,141.93,3814.2692199999988,2242.8482699999986,946,541974.2954136996
2021-01-24 13:00:00,142.02,142.42,139.0,139.86,8941.259640000018,3919.732469999995,2113,1256293.4214694996
2021-01-24 14:00:00,139.98,140.35,138.26,138.75,5110.78303000001,1593.2291099999993,1594,712606.9814354
2021-01-24 15:00:00,138.64,139.3,137.35,137.88,2103.9453999999987,886.8274599999999,998,291089.34818009986
2021-01-24 16:00:00,137.9,138.9,137.44,138.51,1458.1126799999995,781.1569699999999,687,201665.69638309986
2021-01-24 17:00:00,138.53,139.26,136.41,137.05,5040.623530000008,2377.9287600000016,1538,693566.5976569996
2021-01-24 18:00:00,137.13,138.19,136.87,137.99,3571.3457499999963,2027.2129599999992,999,491501.92341669905
2021-01-24 19:00:00,137.93,138.1,137.25,137.57,2094.5308499999983,677.0791999999998,779,288203.58226519986
2021-01-24 20:00:00,137.52,137.95,134.07,134.97,4852.44394000001,2296.2142100000005,2051,657565.6761085002
2021-01-24 21:00:00,135.02,136.45,134.85,136.19,3030.984950000005,2000.1789199999967,870,411879.7126849995
2021-01-24 22:00:00,136.29,137.06,135.91,136.74,1516.5114400000002,490.72812000000005,604,207180.5089224002
2021-01-24 23:00:00,136.69,137.49,135.83,137.2,2566.0888599999994,1336.8942199999985,980,351212.9370908997
2021-01-25 01:00:00,138.04,140.49,137.84,139.09,5069.636989999994,2054.82143,1867,706585.3116239009
2021-01-25 02:00:00,139.31,140.17,138.71,139.15,7203.206380000007,3601.0304799999976,1631,1002973.6215499992
2021-01-25 03:00:00,139.16,139.49,138.36,138.59,2960.35307,1942.44095,928,410671.0533970005
2021-01-25 04:00:00,138.54,139.83,137.83,139.83,5391.3784700000015,2343.823329999998,1661,747035.7080080988
2021-01-25 05:00:00,139.85,140.41,138.75,140.02,4499.905489999998,2528.532489999997,1502,628636.6359282007
2021-01-25 06:00:00,140.02,140.41,139.69,140.23,2185.717429999996,981.1124199999997,807,306181.3943481003
2021-01-25 07:00:00,140.23,141.41,139.25,141.41,3638.911199999996,2247.4993600000003,1466,510393.4669287006
2021-01-25 08:00:00,141.4,141.49,138.6,139.52,4550.3387000000075,2208.5363900000007,1890,636385.5243825008
2021-01-25 09:00:00,139.46,139.75,138.72,139.62,3296.483520000005,2010.7945100000009,1095,458924.5006338997
2021-01-25 10:00:00,139.61,139.94,138.17,138.62,4373.368530000005,1951.5240999999987,1599,609058.9278492007
2021-01-25 11:00:00,138.47,140.15,138.04,140.04,1973.3792099999976,1250.7611399999996,973,274987.56666540005
2021-01-25 12:00:00,140.04,140.72,139.49,140.0,3308.786369999997,1660.3015299999995,1115,463307.3328912003
2021-01-25 13:00:00,140.13,142.16,139.54,141.79,5394.1729300000015,2765.7318499999956,1904,760114.0474076011
2021-01-25 14:00:00,141.86,145.55,141.6,143.81,13239.36345000004,8595.881599999992,4481,1901014.0196182963
2021-01-25 15:00:00,143.7,145.3,142.85,143.23,5737.739940000002,2962.0269399999943,2032,825208.2484775005
2021-01-25 16:00:00,143.32,144.38,143.07,143.81,4161.820099999997,2437.8169299999977,1340,598374.693201301
2021-01-25 17:00:00,143.81,144.26,142.01,143.19,6518.119500000005,3205.527880000001,1928,934448.1549303
2021-01-25 18:00:00,143.19,144.0,142.2,142.65,3932.7363299999975,2427.3622599999994,1187,563206.635383799
2021-01-25 19:00:00,142.61,143.13,140.89,141.49,3580.621729999998,1532.6458099999975,1331,509245.0090477006
2021-01-25 20:00:00,141.37,142.48,140.9,141.46,2517.6602700000008,1127.8261099999993,884,356819.9659155004
2021-01-25 21:00:00,141.27,141.3,140.0,140.83,2027.5801999999978,935.9523399999997,933,285030.0574101001
2021-01-25 22:00:00,140.81,140.92,137.58,139.01,4887.470959999997,1611.8270699999994,1920,678691.5387053002
2021-01-25 23:00:00,138.9,138.9,136.8,138.06,2835.1297299999937,1037.75982,1262,390549.9686418
